Gold_IRR,Date,USD_IRR,Ounce_USD,Oil_USD
63915000.0,2025-03-04,884900.0,2909.60009765625,71.04000091552734
64354000.0,2025-03-03,904800.0,2890.199951171875,71.62000274658203
63774000.0,2025-03-02,907350.0,2836.800048828125,73.18000030517578
65111000.0,2025-03-01,922300.0,2836.800048828125,73.18000030517578
64358000.0,2025-02-28,921600.0,2836.800048828125,73.18000030517578
66300000.0,2025-02-26,925200.0,2916.800048828125,72.52999877929688
67184000.0,2025-02-25,925950.0,2904.5,73.0199966430664
65806000.0,2025-02-24,918300.0,2947.89990234375,74.77999877929688
66568000.0,2025-02-23,913150.0,2937.60009765625,74.43000030517578
67415000.0,2025-02-22,927400.0,2937.60009765625,74.43000030517578
67923000.0,2025-02-21,935800.0,2937.60009765625,74.43000030517578
69034000.0,2025-02-19,930700.0,2919.39990234375,76.04000091552734
67565000.0,2025-02-18,921700.0,2931.60009765625,75.83999633789062
65822000.0,2025-02-17,919950.0,2883.60009765625,74.73999786376953
64735000.0,2025-02-16,908200.0,2883.60009765625,74.73999786376953
65090000.0,2025-02-15,907050.0,2883.60009765625,74.73999786376953
65430000.0,2025-02-14,906150.0,2883.60009765625,74.73999786376953
65504000.0,2025-02-12,890600.0,2909.0,75.18000030517578
63827000.0,2025-02-11,883500.0,2912.5,77.0
63948000.0,2025-02-10,881500.0,2914.300048828125,75.87000274658203
66201000.0,2025-02-08,913650.0,2867.300048828125,74.66000366210938
63273000.0,2025-02-07,889600.0,2867.300048828125,74.66000366210938
59642000.0,2025-02-05,854600.0,2871.60009765625,74.61000061035156
59023000.0,2025-02-04,852700.0,2853.300048828125,76.19999694824219
57712000.0,2025-02-03,845950.0,2833.89990234375,75.95999908447266
57045000.0,2025-02-02,838650.0,2812.5,76.76000213623047
56645000.0,2025-02-01,840500.0,2812.5,76.76000213623047
56763000.0,2025-01-31,837650.0,2812.5,76.76000213623047
55828000.0,2025-01-29,835100.0,2769.10009765625,76.58000183105469
55345000.0,2025-01-28,832300.0,2766.800048828125,77.48999786376953
55990000.0,2025-01-26,839300.0,2777.300048828125,78.5
56103000.0,2025-01-25,838800.0,2777.300048828125,78.5
55586000.0,2025-01-24,833900.0,2777.300048828125,78.5
55163000.0,2025-01-22,839050.0,2767.60009765625,79.0
54824000.0,2025-01-21,825700.0,2755.0,79.29000091552734
54117000.0,2025-01-20,823350.0,2744.300048828125,80.79000091552734
52797000.0,2025-01-19,810200.0,2744.300048828125,80.79000091552734
52478000.0,2025-01-18,806700.0,2744.300048828125,80.79000091552734
52538000.0,2025-01-17,805300.0,2744.300048828125,80.79000091552734
52298000.0,2025-01-15,800700.0,2712.5,82.02999877929688
52587000.0,2025-01-14,804850.0,2677.5,79.91999816894531
53284000.0,2025-01-12,814600.0,2708.5,79.76000213623047
52834000.0,2025-01-11,806650.0,2708.5,79.76000213623047
53535000.0,2025-01-10,819500.0,2708.5,79.76000213623047
52850000.0,2025-01-08,813900.0,2664.5,76.16000366210938
52718000.0,2025-01-07,804100.0,2656.699951171875,77.05000305175781
52240000.0,2025-01-06,800800.0,2638.39990234375,76.30000305175781
51174000.0,2025-01-05,793450.0,2645.0,76.51000213623047
51206000.0,2025-01-04,795450.0,2645.0,76.51000213623047
51564000.0,2025-01-03,798350.0,2645.0,76.51000213623047
51956000.0,2025-01-01,806350.0,2629.199951171875,74.63999938964844
52185000.0,2024-12-31,812300.0,2629.199951171875,74.63999938964844
52413000.0,2024-12-30,813050.0,2606.10009765625,74.38999938964844
52305000.0,2024-12-29,813200.0,2617.199951171875,74.16999816894531
51612000.0,2024-12-28,797150.0,2617.199951171875,74.16999816894531
52630000.0,2024-12-27,810600.0,2617.199951171875,74.16999816894531
51432000.0,2024-12-25,793850.0,2620.0,73.58000183105469
50777000.0,2024-12-24,785950.0,2620.0,73.58000183105469
50493000.0,2024-12-23,786600.0,2612.300048828125,72.62999725341797
49872000.0,2024-12-22,778800.0,2628.699951171875,72.94000244140625
49071000.0,2024-12-21,762800.0,2628.699951171875,72.94000244140625
48918000.0,2024-12-20,762400.0,2628.699951171875,72.94000244140625
48710000.0,2024-12-18,767550.0,2636.5,73.38999938964844
